phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,subsource,threshold
3,4,III→Approved,25,33,6179,20617,0.7575757575757576,0.29970412766163845,2.527745491817348,2.081730000929536,3.0693208382210386,7.301950153746561,3.2918278150239444,16.197225080987902,7.834475559217668e-08,gene2phenotype,0.0
1,4,I→Approved,25,52,6179,55850,0.4807692307692308,0.11063563115487914,4.345518941327325,3.273000858948472,5.769486683086703,7.443221664778551,4.317441318342825,12.832032832884849,2.994680003474717e-11,gene2phenotype,0.0
1,2,I→II,109,127,56044,67487,0.8582677165354331,0.8304414183472373,1.0335078400154658,0.962906423071571,1.1092858348230592,1.2364164267757873,0.7506293672614859,2.0365917549672234,0.4775410140936356,gene_burden,0.0
2,3,II→III,70,95,24857,48623,0.7368421052631579,0.5112189704460852,1.4413434317983072,1.2777345657941521,1.6259017670832974,2.677105040833568,1.6950837612065077,4.228045577261226,1.1547221952547886e-05,gene_burden,0.0
3,4,III→Approved,44,67,6160,20583,0.6567164179104478,0.2992761016372735,2.1943496801705757,1.843208522877485,2.612385120348515,4.479192546583851,2.70270718641711,7.42335905650564,2.942423036436457e-09,gene_burden,0.0
1,4,I→Approved,44,110,6160,55792,0.4,0.11041009463722397,3.622857142857143,2.878242190573169,4.560107526926811,5.371428571428571,3.6645981055286785,7.873235772957092,5.097206136442443e-15,gene_burden,0.0
1,2,I→II,244,262,55909,67352,0.9312977099236641,0.830101556004276,1.1219081607393913,1.085418745065423,1.1596242711450295,2.774441006317806,1.7182777882436364,4.479789560339891,2.0619064830328704e-06,genomics_england,0.0
2,3,II→III,161,231,24766,48487,0.696969696969697,0.5107760843112586,1.3645307961305702,1.2527415742870112,1.4862956030244623,2.202951627230881,1.6630127176592044,2.9181952852110986,1.4169213182199806e-08,genomics_england,0.0
3,4,III→Approved,91,141,6113,20509,0.6453900709219859,0.2980642644692574,2.1652715466283343,1.9124909544347983,2.4514630303304257,4.286065761491902,3.0314716797128978,6.0598816854436075,2.802986458166623e-17,genomics_england,0.0
1,4,I→Approved,91,229,6113,55673,0.39737991266375544,0.10980187882815727,3.6190629605315325,3.0801405293624384,4.252278942286556,5.34612621711392,4.0974771500730585,6.97528368859926,3.507081479008704e-29,genomics_england,0.0
1,2,I→II,1742,1966,54411,65648,0.8860630722278738,0.8288295149890325,1.069053473849322,1.0518451892893654,1.0865432875359142,1.606067542802532,1.3954171534110282,1.8485174456530205,3.0887612942661797e-12,gwas_credible_sets,0.0
2,3,II→III,1026,1608,23901,47110,0.6380597014925373,0.507344512842284,1.2576458113599194,1.2109062755878817,1.3061894373809115,1.7118461592212206,1.5438400735569024,1.8981352557386093,3.1710135167327656e-25,gwas_credible_sets,0.0
3,4,III→Approved,375,922,5829,19728,0.4067245119305857,0.2954683698296837,1.3765416317321313,1.2695889474721112,1.4925042216731985,1.6346826041261886,1.4283695085846386,1.8707954770615547,2.3290544239471095e-12,gwas_credible_sets,0.0
1,4,I→Approved,375,1728,5829,54174,0.2170138888888889,0.10759774061357846,2.016900054326071,1.8381825433844232,2.2129933959936325,2.2987459673876205,2.0437747834032316,2.5855260890251826,6.527372752138333e-38,gwas_credible_sets,0.0
1,2,I→II,1509,1724,54644,65890,0.8752900232018561,0.8293215966003946,1.0554289515549795,1.036444278858843,1.0747613687509712,1.444462848747836,1.2503573664591472,1.6687012668396868,2.2272169277507006e-07,impc,0.0
2,3,II→III,853,1373,24074,47345,0.6212672978878369,0.5084803041503855,1.2218119223435921,1.1712798231829364,1.2745241094687474,1.5856687872649076,1.4197522188535223,1.770974871190232,1.2978917715391364e-16,impc,0.0
