phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,experiment,similarity_threshold
3,4,III→Approved,71470,119904,560158,968543,0.5960601814785161,0.5783511934937323,1.0306197829000863,1.0255204153386068,1.0357445069041464,1.0758028337294447,1.0627365907068258,1.0890297249392242,8.159002007196918e-32,Combined GE × Combined CT,0.5
1,4,I→Approved,71470,193350,560158,1683659,0.369640548228601,0.3327027622576781,1.1110233823135938,1.1041547848796647,1.1179347071181374,1.1761271001832407,1.1646868229148852,1.1876797509595658,2.0056261123078262e-229,Combined GE × Combined CT,0.5
1,2,I→II,96482,103031,1855738,2033647,0.9364366064582504,0.9125172657791643,1.026212480109801,1.024523923500865,1.0279038196927175,1.4123832704524188,1.3768282351708565,1.4488564743926275,3.707127833915044e-170,Combined GE × Combined CT,0.6
2,3,II→III,63807,89683,1133857,1712085,0.7114726313794142,0.6622667682971348,1.074299157737902,1.0696865019390103,1.0789317040313269,1.257511646444901,1.2390520824621456,1.2762462234858292,3.2452457311448905e-208,Combined GE × Combined CT,0.6
3,4,III→Approved,35573,58195,596055,1030252,0.6112724460864335,0.578552625959474,1.0565546134592283,1.0495147208556297,1.0636417279710912,1.1454865056254881,1.1260428064747667,1.1652659446206364,5.8007859660862214e-55,Combined GE × Combined CT,0.6
1,4,I→Approved,35573,90620,596055,1786389,0.39255131317589936,0.33366472811912745,1.1764842972426734,1.166689746693279,1.186361074640068,1.2905336715194482,1.2729852990549582,1.3083239520219816,1.437017468851745e-286,Combined GE × Combined CT,0.6
1,2,I→II,39074,41441,1913146,2095237,0.9428826524456456,0.9130928863894633,1.0326251211680955,1.0301433951840862,1.035112825896315,1.5711946118829931,1.506924676404183,1.6382056429660685,2.0877304680435698e-113,Combined GE × Combined CT,0.7
2,3,II→III,27194,36614,1170470,1765154,0.7427213634129022,0.6630979506603957,1.1200779050413405,1.1132444334068816,1.1269533228407005,1.4667231863252277,1.4324579484277746,1.5018080688966888,7.536519588380758e-234,Combined GE × Combined CT,0.7
3,4,III→Approved,16144,24990,615484,1063457,0.6460184073629451,0.5787577682971667,1.1162155270307197,1.1058609334368705,1.1266670745952283,1.3283095207435778,1.2939453001925574,1.363586376205752,2.7045799173225176e-102,Combined GE × Combined CT,0.7
1,4,I→Approved,16144,36777,615484,1840232,0.43897000842918127,0.33446000286920347,1.312473852369272,1.297165276976135,1.3279630928516823,1.5569646134146622,1.5248824326059054,1.5897217749979609,0.0,Combined GE × Combined CT,0.7
